Unnamed: 0;Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
99;Apartamento;Recreio dos Bandeirantes;3;2;1;90;1200.0;880.0;144.0;13.33;Apartamento
102;Apartamento;Praça Seca;2;0;0;80;900.0;350.0;0.0;11.25;Apartamento
103;Apartamento;Vila Isabel;1;0;0;37;1000.0;285.0;24.0;27.03;Apartamento
104;Apartamento;Copacabana;3;0;0;150;5500.0;1780.0;420.0;36.67;Apartamento
105;Apartamento;Lagoa;3;1;1;127;5000.0;1540.0;370.0;39.37;Apartamento
106;Apartamento;Freguesia (Jacarepaguá);2;1;1;74;1700.0;652.0;104.0;22.97;Apartamento
107;Apartamento;Barra da Tijuca;3;2;1;128;3000.0;1384.0;324.0;23.44;Apartamento
108;Apartamento;Gávea;3;1;1;160;8000.0;2000.0;0.0;50.0;Apartamento
109;Apartamento;Copacabana;3;1;1;200;6200.0;1800.0;420.0;31.0;Apartamento
110;Apartamento;Barra da Tijuca;2;1;0;58;1500.0;666.0;106.0;25.86;Apartamento
111;Apartamento;Botafogo;3;1;1;100;5500.0;1300.0;220.0;55.0;Apartamento
112;Apartamento;Barra da Tijuca;4;2;3;320;5500.0;2700.0;800.0;17.19;Apartamento
113;Apartamento;Recreio dos Bandeirantes;2;1;1;75;1000.0;1040.0;112.0;13.33;Apartamento
116;Apartamento;Recreio dos Bandeirantes;3;2;1;104;2200.0;740.0;258.0;21.15;Apartamento
117;Apartamento;Barra da Tijuca;2;1;1;72;2600.0;1700.0;237.0;36.11;Apartamento
118;Apartamento;Taquara;2;1;0;75;1200.0;330.0;75.0;16.0;Apartamento
119;Apartamento;Botafogo;4;1;1;190;5500.0;1720.0;350.0;28.95;Apartamento
122;Apartamento;Méier;2;0;0;56;899.0;402.0;135.0;16.05;Apartamento
123;Apartamento;Freguesia (Jacarepaguá);2;1;1;71;1200.0;600.0;54.0;16.9;Apartamento
124;Apartamento;Lagoa;3;1;2;105;3600.0;1100.0;281.0;34.29;Apartamento
126;Apartamento;Tijuca;3;0;0;87;1600.0;650.0;100.0;18.39;Apartamento
127;Apartamento;Botafogo;1;0;0;35;1500.0;470.0;50.0;42.86;Apartamento
129;Apartamento;Copacabana;3;0;0;100;3300.0;850.0;90.0;33.0;Apartamento
130;Apartamento;Barra da Tijuca;3;1;2;93;2500.0;1100.0;0.0;26.88;Apartamento
131;Apartamento;Engenho Novo;2;2;0;78;800.0;915.0;55.0;10.26;Apartamento
132;Apartamento;Barra da Tijuca;2;1;1;85;2500.0;1573.0;197.0;29.41;Apartamento
133;Apartamento;Leblon;2;1;1;115;7500.0;980.0;270.0;65.22;Apartamento
134;Apartamento;Botafogo;2;1;1;70;3700.0;1133.0;147.0;52.86;Apartamento
135;Apartamento;Freguesia (Jacarepaguá);2;1;1;95;1600.0;650.0;0.0;16.84;Apartamento
137;Apartamento;Campo Grande;2;0;0;60;1200.0;570.0;0.0;20.0;Apartamento
138;Apartamento;Flamengo;1;0;0;40;1900.0;430.0;54.0;47.5;Apartamento
139;Apartamento;Engenho de Dentro;3;1;1;61;1400.0;498.0;0.0;22.95;Apartamento
140;Apartamento;Copacabana;3;2;1;250;7000.0;1500.0;434.0;28.0;Apartamento
142;Apartamento;Copacabana;3;1;0;140;3700.0;1347.0;0.0;26.43;Apartamento
143;Apartamento;Copacabana;2;0;0;50;2500.0;750.0;760.0;50.0;Apartamento
145;Apartamento;Tijuca;3;1;1;78;2500.0;730.0;178.0;32.05;Apartamento
147;Apartamento;Lagoa;3;1;1;75;4000.0;1250.0;309.0;53.33;Apartamento
148;Apartamento;Recreio dos Bandeirantes;3;2;1;102;1850.0;882.0;0.0;18.14;Apartamento
149;Apartamento;Tijuca;1;0;0;65;1200.0;320.0;0.0;18.46;Apartamento
150;Apartamento;Barra da Tijuca;2;1;0;60;1500.0;1266.0;233.0;25.0;Apartamento
152;Apartamento;Maracanã;3;2;3;158;2400.0;1265.0;0.0;15.19;Apartamento
153;Apartamento;Barra da Tijuca;2;1;1;83;2000.0;1548.0;260.0;24.1;Apartamento
154;Apartamento;Laranjeiras;5;2;1;400;9000.0;3000.0;0.0;22.5;Apartamento
155;Apartamento;Barra da Tijuca;3;1;1;84;1900.0;1103.0;212.0;22.62;Apartamento
156;Apartamento;Freguesia (Jacarepaguá);3;1;1;77;1600.0;850.0;165.0;20.78;Apartamento
158;Apartamento;Tijuca;3;0;0;75;1800.0;350.0;0.0;24.0;Apartamento
159;Apartamento;Ipanema;3;1;1;126;5500.0;1400.0;2000.0;43.65;Apartamento
163;Apartamento;Freguesia (Jacarepaguá);3;3;2;173;3200.0;1800.0;0.0;18.5;Apartamento
164;Apartamento;Tijuca;2;1;1;71;1500.0;600.0;0.0;21.13;Apartamento
165;Apartamento;Barra da Tijuca;2;1;1;81;1900.0;1200.0;121.0;23.46;Apartamento
167;Apartamento;Leblon;3;1;0;87;3800.0;970.0;273.0;43.68;Apartamento
169;Apartamento;Laranjeiras;4;1;2;288;7000.0;1870.0;582.0;24.31;Apartamento
170;Apartamento;Recreio dos Bandeirantes;1;1;1;102;1900.0;688.0;0.0;18.63;Apartamento
171;Apartamento;Leblon;2;1;0;70;4200.0;1100.0;200.0;60.0;Apartamento
172;Apartamento;Pilares;3;0;0;65;1200.0;350.0;16.0;18.46;Apartamento
173;Apartamento;Barra da Tijuca;3;3;2;169;6500.0;1886.0;450.0;38.46;Apartamento
175;Apartamento;Laranjeiras;3;1;1;90;2400.0;1311.0;0.0;26.67;Apartamento
176;Apartamento;Tijuca;2;0;0;50;1800.0;347.0;25.0;36.0;Apartamento
177;Apartamento;Ipanema;3;1;1;140;6500.0;1800.0;506.0;46.43;Apartamento
178;Apartamento;Campo Grande;2;0;0;60;800.0;380.0;0.0;13.33;Apartamento
181;Apartamento;Centro;1;0;0;35;1350.0;420.0;24.0;38.57;Apartamento
182;Apartamento;Tijuca;2;0;0;63;1400.0;440.0;61.0;22.22;Apartamento
184;Apartamento;Copacabana;3;1;0;112;3800.0;1123.0;286.0;33.93;Apartamento
185;Apartamento;Tijuca;3;1;0;129;1800.0;850.0;116.0;13.95;Apartamento
186;Apartamento;Barra da Tijuca;4;3;3;160;8600.0;2300.0;250.0;53.75;Apartamento
187;Apartamento;Recreio dos Bandeirantes;2;1;1;93;1400.0;1300.0;0.0;15.05;Apartamento
188;Apartamento;Freguesia (Jacarepaguá);3;1;1;93;1800.0;650.0;95.0;19.35;Apartamento
189;Apartamento;Barra da Tijuca;1;1;1;60;2200.0;1600.0;350.0;36.67;Apartamento
190;Apartamento;Taquara;2;2;0;55;790.0;350.0;0.0;14.36;Apartamento
192;Apartamento;Copacabana;2;0;0;54;1800.0;590.0;0.0;33.33;Apartamento
193;Apartamento;Catete;2;1;1;70;3300.0;1365.0;180.0;47.14;Apartamento
195;Apartamento;Maracanã;2;1;0;53;1300.0;492.0;16.0;24.53;Apartamento
196;Apartamento;Botafogo;1;0;0;35;1000.0;293.0;86.0;28.57;Apartamento
197;Apartamento;Tijuca;3;1;0;164;3500.0;1310.0;257.0;21.34;Apartamento
198;Apartamento;Jacarepaguá;2;1;1;60;1200.0;524.0;13.0;20.0;Apartamento
199;Apartamento;Água Santa;2;1;0;50;850.0;280.0;12.0;17.0;Apartamento
200;Apartamento;Botafogo;2;1;1;79;4315.0;1110.0;187.0;54.62;Apartamento
201;Apartamento;Recreio dos Bandeirantes;2;1;1;80;1600.0;615.0;3.0;20.0;Apartamento
202;Apartamento;Tijuca;1;0;0;36;1300.0;295.0;24.0;36.11;Apartamento
203;Apartamento;Jardim Oceânico;4;4;3;190;5700.0;1069.0;808.0;30.0;Apartamento
204;Apartamento;Freguesia (Jacarepaguá);3;1;0;84;1500.0;900.0;0.0;17.86;Apartamento
205;Apartamento;São Cristóvão;2;0;0;50;1000.0;600.0;0.0;20.0;Apartamento
208;Apartamento;Ilha do Governador;3;1;0;83;1500.0;440.0;132.0;18.07;Apartamento
209;Apartamento;Olaria;2;0;0;90;1000.0;150.0;0.0;11.11;Apartamento
210;Apartamento;Humaitá;1;0;0;57;3990.0;860.0;100.0;70.0;Apartamento
211;Apartamento;Maracanã;3;1;0;95;2500.0;600.0;80.0;26.32;Apartamento
214;Apartamento;Barra da Tijuca;2;1;1;63;1900.0;824.0;0.0;30.16;Apartamento
215;Apartamento;Gávea;2;1;1;100;3900.0;1300.0;320.0;39.0;Apartamento
216;Apartamento;Ipanema;3;2;1;165;7500.0;2200.0;532.0;45.45;Apartamento
217;Apartamento;Ipanema;3;2;2;160;6000.0;3500.0;4600.0;37.5;Apartamento
218;Apartamento;Flamengo;1;1;0;48;2100.0;580.0;70.0;43.75;Apartamento
219;Apartamento;Leblon;2;1;1;87;4800.0;1300.0;361.0;55.17;Apartamento
221;Apartamento;Barra da Tijuca;3;1;1;105;2500.0;1400.0;1500.0;23.81;Apartamento
224;Apartamento;Barra da Tijuca;3;1;1;80;3500.0;1410.0;270.0;43.75;Apartamento
225;Apartamento;Botafogo;3;1;1;102;5100.0;1300.0;0.0;50.0;Apartamento
226;Apartamento;Gávea;3;0;1;120;2700.0;880.0;238.0;22.5;Apartamento
227;Apartamento;Humaitá;2;2;1;112;4500.0;1300.0;0.0;40.18;Apartamento
228;Apartamento;Vila da Penha;2;0;0;60;900.0;160.0;25.0;15.0;Apartamento
229;Apartamento;Lagoa;1;1;0;75;2800.0;800.0;210.0;37.33;Apartamento
230;Apartamento;Ipanema;3;1;1;125;7000.0;2100.0;463.0;56.0;Apartamento
231;Apartamento;Engenho Novo;2;0;0;53;1400.0;460.0;12.0;26.42;Apartamento
232;Apartamento;Recreio dos Bandeirantes;3;3;1;132;2800.0;879.0;0.0;21.21;Apartamento
233;Apartamento;Barra da Tijuca;2;2;1;86;3500.0;1307.0;0.0;40.7;Apartamento
234;Apartamento;Recreio dos Bandeirantes;2;1;1;80;1700.0;690.0;150.0;21.25;Apartamento
235;Apartamento;Recreio dos Bandeirantes;4;2;2;200;3600.0;1177.0;320.0;18.0;Apartamento
236;Apartamento;Barra da Tijuca;2;1;1;77;2500.0;830.0;156.0;32.47;Apartamento
237;Apartamento;Engenho Novo;1;1;0;63;700.0;625.0;36.0;11.11;Apartamento
239;Apartamento;Barra da Tijuca;4;2;2;149;4500.0;2130.0;0.0;30.2;Apartamento
240;Apartamento;Recreio dos Bandeirantes;3;2;2;106;2500.0;780.0;248.0;23.58;Apartamento
241;Apartamento;Anil;2;1;0;48;1100.0;400.0;0.0;22.92;Apartamento
243;Apartamento;Gávea;2;1;1;68;2700.0;850.0;186.0;39.71;Apartamento
244;Apartamento;Barra da Tijuca;2;1;1;75;1400.0;1280.0;0.0;18.67;Apartamento
245;Apartamento;Ipanema;2;1;1;97;7000.0;4000.0;4725.0;72.16;Apartamento
247;Apartamento;Cachambi;3;0;0;70;900.0;200.0;30.0;12.86;Apartamento
249;Apartamento;Copacabana;4;2;1;279;3150.0;2025.0;370.0;11.29;Apartamento
252;Apartamento;Cachambi;2;1;0;70;950.0;530.0;30.0;13.57;Apartamento
254;Apartamento;Recreio dos Bandeirantes;4;2;1;400;3500.0;800.0;500.0;8.75;Apartamento
255;Apartamento;Recreio dos Bandeirantes;2;1;1;89;1800.0;884.0;170.0;20.22;Apartamento
256;Apartamento;Maracanã;1;1;1;120;1000.0;985.0;150.0;8.33;Apartamento
257;Apartamento;Recreio dos Bandeirantes;4;3;2;181;3500.0;1080.0;423.0;19.34;Apartamento
258;Apartamento;Tijuca;2;1;1;70;1500.0;890.0;68.0;21.43;Apartamento
260;Apartamento;Vaz Lobo;2;0;0;70;1000.0;32.0;0.0;14.29;Apartamento
261;Apartamento;Madureira;2;0;0;40;600.0;415.0;0.0;15.0;Apartamento
262;Apartamento;Recreio dos Bandeirantes;2;0;0;75;1700.0;659.0;0.0;22.67;Apartamento
263;Apartamento;Copacabana;2;1;1;81;2900.0;893.0;190.0;35.8;Apartamento
266;Apartamento;Praça Seca;3;0;0;90;900.0;330.0;15.0;10.0;Apartamento
267;Apartamento;Vila Isabel;3;3;1;124;1700.0;1400.0;0.0;13.71;Apartamento
268;Apartamento;Recreio dos Bandeirantes;5;3;4;430;6000.0;899.0;750.0;13.95;Apartamento
269;Apartamento;Ipanema;2;0;1;75;5200.0;476.0;120.0;69.33;Apartamento
271;Apartamento;Freguesia (Jacarepaguá);3;2;1;126;1500.0;1000.0;150.0;11.9;Apartamento
272;Apartamento;Laranjeiras;2;1;1;70;2300.0;620.0;190.0;32.86;Apartamento
273;Apartamento;Recreio dos Bandeirantes;3;2;1;94;1900.0;1300.0;198.0;20.21;Apartamento
274;Apartamento;Barra da Tijuca;4;3;4;192;5000.0;2200.0;562.0;26.04;Apartamento
275;Apartamento;Copacabana;1;0;0;43;1600.0;452.0;242.0;37.21;Apartamento
276;Apartamento;Barra da Tijuca;2;1;1;70;2200.0;780.0;0.0;31.43;Apartamento
277;Apartamento;São Francisco Xavier;3;1;1;73;1200.0;520.0;0.0;16.44;Apartamento
278;Apartamento;Copacabana;3;0;0;120;3000.0;1420.0;0.0;25.0;Apartamento
280;Apartamento;Pechincha;2;1;0;64;800.0;248.0;14.0;12.5;Apartamento
281;Apartamento;Copacabana;1;0;0;45;2800.0;450.0;30.0;62.22;Apartamento
282;Apartamento;Laranjeiras;2;0;0;110;2500.0;968.0;167.0;22.73;Apartamento
284;Apartamento;Flamengo;2;0;0;85;2700.0;800.0;1150.0;31.76;Apartamento
285;Apartamento;Leme;3;1;1;175;8000.0;1380.0;0.0;45.71;Apartamento
287;Apartamento;Jacarepaguá;2;1;0;68;1100.0;540.0;0.0;16.18;Apartamento
288;Apartamento;Humaitá;2;1;0;64;2500.0;520.0;0.0;39.06;Apartamento
289;Apartamento;Copacabana;1;0;1;37;2500.0;447.0;20.0;67.57;Apartamento
293;Apartamento;Barra da Tijuca;14;2;2;212;5000.0;1200.0;650.0;23.58;Apartamento
294;Apartamento;Irajá;2;1;0;65;1100.0;255.0;0.0;16.92;Apartamento
295;Apartamento;Barra da Tijuca;2;2;1;105;3000.0;1500.0;0.0;28.57;Apartamento
296;Apartamento;Vila Isabel;2;1;0;70;1100.0;550.0;0.0;15.71;Apartamento
298;Apartamento;Gávea;3;1;1;108;5000.0;1769.0;226.0;46.3;Apartamento
299;Apartamento;Recreio dos Bandeirantes;2;1;2;85;2300.0;1350.0;125.0;27.06;Apartamento
300;Apartamento;Catete;1;0;0;45;1600.0;500.0;55.0;35.56;Apartamento
302;Apartamento;Barra da Tijuca;3;2;3;160;7000.0;1087.0;455.0;43.75;Apartamento
304;Apartamento;Lagoa;3;2;1;130;5000.0;1000.0;300.0;38.46;Apartamento
305;Apartamento;Freguesia (Jacarepaguá);3;2;1;100;2100.0;780.0;140.0;21.0;Apartamento
306;Apartamento;Freguesia (Jacarepaguá);3;2;3;180;5500.0;1200.0;318.0;30.56;Apartamento
307;Apartamento;Copacabana;3;0;0;80;2500.0;800.0;157.0;31.25;Apartamento
309;Apartamento;Recreio dos Bandeirantes;3;1;1;85;1900.0;450.0;112.0;22.35;Apartamento
311;Apartamento;Barra da Tijuca;5;4;3;171;9000.0;2000.0;3500.0;52.63;Apartamento
312;Apartamento;Centro;1;0;0;42;2200.0;619.0;202.0;52.38;Apartamento
313;Apartamento;Méier;2;1;0;62;1000.0;600.0;38.0;16.13;Apartamento
317;Apartamento;Grajaú;2;0;0;65;1400.0;415.0;21.0;21.54;Apartamento
319;Apartamento;Copacabana;1;0;0;43;1800.0;639.0;76.0;41.86;Apartamento
320;Apartamento;Lagoa;2;1;1;80;2200.0;2600.0;420.0;27.5;Apartamento
321;Apartamento;Flamengo;2;1;0;57;2800.0;832.0;98.0;49.12;Apartamento
322;Apartamento;Campo Grande;3;1;1;98;1800.0;950.0;0.0;18.37;Apartamento
323;Apartamento;Jardim Botânico;3;1;2;170;6000.0;860.0;540.0;35.29;Apartamento
326;Apartamento;Ipanema;1;0;1;50;2400.0;897.0;26.0;48.0;Apartamento
328;Apartamento;Recreio dos Bandeirantes;3;2;1;150;2500.0;1012.0;0.0;16.67;Apartamento
329;Apartamento;Copacabana;2;0;0;65;2700.0;710.0;130.0;41.54;Apartamento
330;Apartamento;Recreio dos Bandeirantes;4;3;2;300;4500.0;1500.0;580.0;15.0;Apartamento
331;Apartamento;Recreio dos Bandeirantes;2;2;1;115;1900.0;661.0;0.0;16.52;Apartamento
333;Apartamento;Recreio dos Bandeirantes;3;3;1;110;1500.0;873.0;0.0;13.64;Apartamento
337;Apartamento;Tijuca;3;1;0;88;2300.0;790.0;885.0;26.14;Apartamento
338;Apartamento;Ipanema;3;1;1;145;7200.0;2900.0;500.0;49.66;Apartamento
340;Apartamento;Urca;1;0;0;53;2800.0;770.0;0.0;52.83;Apartamento
341;Apartamento;Ipanema;3;1;1;116;5000.0;1600.0;316.0;43.1;Apartamento
342;Apartamento;Tijuca;3;1;0;116;2000.0;790.0;194.0;17.24;Apartamento
343;Apartamento;Vila Isabel;3;0;0;82;1200.0;664.0;86.0;14.63;Apartamento
345;Apartamento;Barra da Tijuca;3;2;1;130;4800.0;1700.0;433.0;36.92;Apartamento
346;Apartamento;Freguesia (Jacarepaguá);3;1;1;90;1700.0;595.0;0.0;18.89;Apartamento
347;Apartamento;Flamengo;2;1;0;68;2000.0;536.0;148.0;29.41;Apartamento
348;Apartamento;Copacabana;1;0;0;60;2800.0;620.0;128.0;46.67;Apartamento
349;Apartamento;Taquara;2;1;0;53;1100.0;450.0;150.0;20.75;Apartamento
350;Apartamento;Penha;2;0;0;64;950.0;180.0;0.0;14.84;Apartamento
351;Apartamento;Jardim Botânico;3;1;1;130;6400.0;1500.0;0.0;49.23;Apartamento
352;Apartamento;Leblon;2;1;0;90;3500.0;1300.0;200.0;38.89;Apartamento
353;Apartamento;Leblon;4;2;4;200;8500.0;2710.0;945.0;42.5;Apartamento
354;Apartamento;Tijuca;1;1;1;84;2000.0;718.0;120.0;23.81;Apartamento
356;Apartamento;Flamengo;1;0;0;30;1490.0;315.0;55.0;49.67;Apartamento
358;Apartamento;Maracanã;2;0;0;79;1700.0;600.0;0.0;21.52;Apartamento
359;Apartamento;Copacabana;1;1;0;150;3000.0;1200.0;390.0;20.0;Apartamento
360;Apartamento;Barra da Tijuca;3;2;3;156;5500.0;2300.0;398.0;35.26;Apartamento
361;Apartamento;Flamengo;1;0;1;38;1450.0;690.0;55.0;38.16;Apartamento
362;Apartamento;Botafogo;2;0;0;115;2200.0;1045.0;190.0;19.13;Apartamento
363;Apartamento;Tijuca;2;0;0;49;1800.0;180.0;0.0;36.73;Apartamento
364;Apartamento;Jacarepaguá;2;1;1;80;1900.0;1350.0;100.0;23.75;Apartamento
365;Apartamento;Copacabana;2;0;0;120;3800.0;1000.0;197.0;31.67;Apartamento
366;Apartamento;Barra da Tijuca;2;1;1;70;1800.0;681.0;120.0;25.71;Apartamento
367;Apartamento;Bonsucesso;3;1;0;98;2800.0;390.0;0.0;28.57;Apartamento
368;Apartamento;Barra da Tijuca;2;1;1;70;3240.0;950.0;0.0;46.29;Apartamento
369;Apartamento;Flamengo;2;1;0;90;3200.0;980.0;0.0;35.56;Apartamento
370;Apartamento;Ipanema;2;0;0;99;3300.0;920.0;0.0;33.33;Apartamento
371;Apartamento;Copacabana;3;1;0;80;3100.0;700.0;1208.0;38.75;Apartamento
372;Apartamento;Copacabana;2;1;0;74;2600.0;1021.0;0.0;35.14;Apartamento
373;Apartamento;Humaitá;2;1;0;75;2900.0;926.0;90.0;38.67;Apartamento
374;Apartamento;Barra da Tijuca;4;3;4;250;9500.0;2800.0;523.0;38.0;Apartamento
375;Apartamento;Recreio dos Bandeirantes;2;1;1;80;1600.0;770.0;108.0;20.0;Apartamento
376;Apartamento;Recreio dos Bandeirantes;3;4;1;217;3300.0;947.0;547.0;15.21;Apartamento
379;Apartamento;São Conrado;3;2;1;140;4700.0;1620.0;515.0;33.57;Apartamento
380;Apartamento;Barra da Tijuca;4;3;2;260;7500.0;3550.0;350.0;28.85;Apartamento
381;Apartamento;Laranjeiras;2;0;0;85;2100.0;700.0;95.0;24.71;Apartamento
382;Apartamento;Rio Comprido;2;1;0;69;1900.0;600.0;70.0;27.54;Apartamento
383;Apartamento;Freguesia (Jacarepaguá);1;1;0;49;1050.0;580.0;36.0;21.43;Apartamento
384;Apartamento;Andaraí;2;1;0;56;1900.0;607.0;89.0;33.93;Apartamento
387;Apartamento;Barra da Tijuca;4;3;3;180;7000.0;1935.0;449.0;38.89;Apartamento
388;Apartamento;Copacabana;2;0;0;81;3000.0;770.0;159.0;37.04;Apartamento
